Link,Title,Provider,Rating,Num_Reviewer,Workload,platform,subject
/course/ideas-better-world-13689,Ideas for a Better World: Leading Change Through Policymaking,/institution/british-council,Five out of five stars,259 reviews,"
            2 hours a week, 4 weeks long
          ",futurelearn,business
/course/pricing-strategy-revenue-management-7392,An Introduction to Pricing Strategy and Revenue Management,/institution/enac,Five out of five stars,14 reviews,"
            3 hours a week, 4 weeks long
          ",futurelearn,business
/course/managing-for-innovation-8057,Innovation Management: Winning in the Age of Disruption,/university/leeds,Five out of five stars,23 reviews,"
            4 hours a week, 2 weeks long
          ",futurelearn,business
/course/fundraising-arts-culture-10573,Effective Fundraising and Leadership in Arts and Culture,/university/leeds,Four and a half out of five stars,31 reviews,"
            4 hours a week, 2 weeks long
          ",futurelearn,business
/course/starting-a-business-6-5013,Starting a Business 6: Funding Your Business,/university/leeds,Five out of five stars,12 reviews,"
            2 hours a week, 2 weeks long
          ",futurelearn,business
/course/starting-a-business-2-5009,Starting a Business 2: People and Networks,/university/leeds,Five out of five stars,21 reviews,"
            2 hours a week, 2 weeks long
          ",futurelearn,business
/course/starting-a-business-1-5007,Starting a Business 1: Vision and Opportunity,/university/leeds,Four and a half out of five stars,85 reviews,"
            2 hours a week, 2 weeks long
          ",futurelearn,business
/course/starting-a-business-5-5012,Starting a Business 5: Managing Finances,/university/leeds,Five out of five stars,16 reviews,"
            2 hours a week, 2 weeks long
          ",futurelearn,business
/course/intercultural-studies-branding-culture-12716,Introduction to Intercultural Studies: The Branding of Culture,/university/leeds,Four and a half out of five stars,15 reviews,"
            5 hours a week, 2 weeks long
          ",futurelearn,business
/course/starting-a-business-3-5010,Starting a Business 3: Customers and Competitors,/university/leeds,Five out of five stars,9 reviews,"
            2 hours a week, 2 weeks long
          ",futurelearn,business
/course/growing-as-a-manager-6266,Management and Leadership: Growing as a Manager,/university/tou,Five out of five stars,5 reviews,"
            3 hours a week, 4 weeks long
          ",futurelearn,business
/course/starting-a-business-4-5011,Starting a Business 4: Business Processes,/university/leeds,Four and a half out of five stars,9 reviews,"
            2 hours a week, 2 weeks long
          ",futurelearn,business
