Link,Title,Provider,Rating,Num_Reviewer,Workload,platform,subject
/course/edx-probability-the-science-of-uncertainty-and-data-1496,Probability - The Science of Uncertainty and Data,/university/mit,Five out of five stars,34 reviews,"
            10-14 hours a week, 16 weeks long
          ",edx,data-science
/course/edx-introduccion-a-la-ciencia-de-datos-con-python-21169,Introducción a la Ciencia de Datos con Python,/university/anahuac,Five out of five stars,70 reviews,"
            6-8 hours a week, 4 weeks long
          ",edx,data-science
/course/edx-the-analytics-edge-1623,The Analytics Edge,/university/mit,Four and a half out of five stars,81 reviews,"
            10-15 hours a week, 13 weeks long
          ",edx,data-science
/course/edx-data-science-and-agile-systems-for-product-management-19101,Data Science and Agile Systems for Product Management,/university/usmd,Four and a half out of five stars,60 reviews,"
            2-3 hours a week, 4 weeks long
          ",edx,data-science
/course/edx-introduction-to-transforming-with-data-analytics-and-the-digital-organization-21480,Introduction to Transforming with Data Analytics and the Digital Organization,/university/usmd,Four and a half out of five stars,36 reviews,"
            2-3 hours a week, 4 weeks long
          ",edx,data-science
/course/edx-mining-massive-datasets-2406,Mining Massive Datasets,/university/stanford,Four and a half out of five stars,25 reviews,"
            5-10 hours a week, 7 weeks long
          ",edx,data-science
/course/edx-aprendizaje-automatico-machine-learning-y-ciencia-de-datos-12250,Aprendizaje automático (machine learning) y ciencia de datos,/university/upv,Four and a half out of five stars,27 reviews,"
            4-5 hours a week, 5 weeks long
          ",edx,data-science
/course/edx-data-science-r-basics-9253,Data Science: R Basics,/university/harvard,Four and a half out of five stars,11 reviews,"
            1-2 hours a week, 8 weeks long
          ",edx,data-science
/course/edx-python-for-data-science-8209,Python for Data Science,/university/ucsd,Four and a half out of five stars,47 reviews,"
            8-10 hours a week, 10 weeks long
          ",edx,data-science
/course/edx-introduction-to-computational-thinking-and-data-science-1779,Introduction to Computational Thinking and Data Science,/university/mit,Four and a half out of five stars,31 reviews,"
            14-16 hours a week, 9 weeks long
          ",edx,data-science
/course/edx-quantitative-biology-workshop-1984,Quantitative Biology Workshop,/university/mit,Five out of five stars,5 reviews,"
            4-8 hours a week, 9 weeks long
          ",edx,data-science
