Link,Title,Provider,Rating,Num_Reviewer,Workload,platform,subject
/course/mountains-101-7455,Mountains 101,/university/ualberta,Five out of five stars,593 reviews,"
            18 hours worth of material, 12 weeks long
          ",coursera,science
/course/dino101-1057,Dino 101: Dinosaur Paleobiology,/university/ualberta,Five out of five stars,133 reviews,"
            15 hours worth of material, 12 weeks long
          ",coursera,science
/course/theropods-birds-5236,Paleontology: Theropod Dinosaurs and the Origin of Birds,/university/ualberta,Five out of five stars,42 reviews,"
            8-9 hours worth of material, 5 weeks long
          ",coursera,science
/course/early-vertebrate-evolution-5417,Paleontology: Early Vertebrate Evolution,/university/ualberta,Five out of five stars,27 reviews,"
            7-8 hours worth of material, 4 weeks long
          ",coursera,science
/course/ancient-marine-reptiles-5235,Paleontology: Ancient Marine Reptiles,/university/ualberta,Five out of five stars,29 reviews,"
            9-10 hours worth of material, 4 weeks long
          ",coursera,science
/course/solarsystem-1813,The Science of the Solar System,/university/caltech,Five out of five stars,51 reviews,"
            30 hours worth of material, 10 weeks long
          ",coursera,science
/course/medicalneuro-384,Medical Neuroscience,/university/duke,Five out of five stars,50 reviews,"
            71 hours worth of material, 13 weeks long
          ",coursera,science
/course/truthinourbones-osteoarchaeology-archaeo-6894,Osteoarchaeology: The Truth in Our Bones,/university/leiden,Five out of five stars,14 reviews,"
            27 hours worth of material, 5 weeks long
          ",coursera,science
/course/how-things-work-431,How Things Work: An Introduction to Physics,/university/uva,Four and a half out of five stars,28 reviews,"
            14 hours worth of material, 8 weeks long
          ",coursera,science
/course/ecology-conservation-10618,Ecology: Ecosystem Dynamics and Conservation,/institution/amnh,Five out of five stars,8 reviews,"
            9-10 hours worth of material, 5 weeks long
          ",coursera,science
/course/cats-and-dogs-8318,The Truth About Cats and Dogs,/university/edinburgh,Five out of five stars,10 reviews,"
            16 hours worth of material, 5 weeks long
          ",coursera,science
/course/astrobio-415,Astrobiology and the Search for Extraterrestrial Life,/university/edinburgh,Four and a half out of five stars,33 reviews,"
            11 hours worth of material, 5 weeks long
          ",coursera,science
/course/brainspace-1362,The Brain and Space,/university/duke,Four and a half out of five stars,15 reviews,"
            9-10 hours worth of material, 6 weeks long
          ",coursera,science
/course/climate-change-mitigation-5054,Climate Change Mitigation in Developing Countries,/university/uct,Four and a half out of five stars,30 reviews,"
            18 hours worth of material, 6 weeks long
          ",coursera,science
/course/neurobio-1606,Understanding the Brain: The Neurobiology of Everyday Life,/university/chicago,Four and a half out of five stars,28 reviews,"
            28 hours worth of material, 10 weeks long
          ",coursera,science
/course/geneticsevolution-381,Introduction to Genetics and Evolution,/university/duke,Four and a half out of five stars,31 reviews,"
            25 hours worth of material, 11 weeks long
          ",coursera,science
/course/plantknows-975,Understanding Plants - Part I: What a Plant Knows,/university/telaviv,Four and a half out of five stars,11 reviews,"
            11 hours worth of material, 7 weeks long
          ",coursera,science
/course/astro-3007,Astronomy: Exploring Time and Space,/university/arizona,Four and a half out of five stars,23 reviews,"
            43 hours worth of material, 11 weeks long
          ",coursera,science
/course/ourearth-1378,"Our Earth: Its Climate, History, and Processes",/university/manchester,Five out of five stars,5 reviews,"
            14 hours worth of material, 5 weeks long
          ",coursera,science
