Link,Title,Provider,Rating,Num_Reviewer,Workload,platform,subject
/course/edx-circular-fashion-design-science-and-value-in-a-sustainable-clothing-industry-17080,"Circular Fashion: Design, Science and Value in a Sustainable Clothing Industry",/university/wageningenur,Four and a half out of five stars,42 reviews,"
            8-12 hours a week, 5 weeks long
          ",edx,art-and-design
/course/edx-jazz-appreciation-1336,Jazz Appreciation,/university/utexas,Five out of five stars,9 reviews,"
            4 weeks long
          ",edx,art-and-design
/course/edx-a-global-history-of-architecture-928,A Global History of Architecture,/university/mit,Five out of five stars,10 reviews,"
            5-7 hours a week, 13 weeks long
          ",edx,art-and-design
/course/edx-design-theory-9438,Design Theory,/university/shenkar,Five out of five stars,5 reviews,"
            3-4 hours a week, 6 weeks long
          ",edx,art-and-design
/course/edx-18th-century-opera-handel-mozart-12061,18th-Century Opera: Handel & Mozart,/university/harvard,Five out of five stars,5 reviews,"
            3-4 hours a week, 5 weeks long
          ",edx,art-and-design
/course/edx-creacion-musical-con-soundcool-introduccion-12332,Creación musical con Soundcool: Introducción,/university/upv,Five out of five stars,8 reviews,"
            4-5 hours a week, 5 weeks long
          ",edx,art-and-design
/course/edx-first-nights-beethoven-s-9th-symphony-and-the-19th-century-orchestra-5383,First Nights - Beethoven's 9th Symphony and the 19th Century Orchestra,/university/harvard,Five out of five stars,4 reviews,"
            3-5 hours a week, 3 weeks long
          ",edx,art-and-design
/course/edx-first-nights-handel-s-messiah-and-baroque-oratorio-4548,First Nights - Handel's Messiah and Baroque Oratorio,/university/harvard,Five out of five stars,4 reviews,"
            3-5 hours a week, 3 weeks long
          ",edx,art-and-design
/course/edx-radio-para-internet-con-podcast-creacion-y-conceptos-basicos-11824,Radio para internet con Podcast: creación y conceptos básicos,/university/upv,Four and a half out of five stars,46 reviews,"
            3-4 hours a week, 6 weeks long
          ",edx,art-and-design
/course/edx-first-nights-monteverdi-s-l-orfeo-and-the-birth-of-opera-6365,First Nights - Monteverdi’s L’Orfeo and the Birth of Opera,/university/harvard,Five out of five stars,3 reviews,"
            3-5 hours a week, 3 weeks long
          ",edx,art-and-design
/course/edx-introduction-to-music-theory-4000,Introduction To Music Theory,/university/berklee,Four and a half out of five stars,7 reviews,"
            3-5 hours a week, 6 weeks long
          ",edx,art-and-design
/course/edx-jazz-the-music-the-stories-the-players-4809,"Jazz: The Music, The Stories, The Players",/university/hamilton,Five out of five stars,4 reviews,"
            3-4 hours a week, 4 weeks long
          ",edx,art-and-design
/course/edx-defining-the-string-quartet-haydn-19182,Defining the String Quartet: Haydn,/university/stanford,Five out of five stars,2 reviews,"
            3-6 hours a week, 10 weeks long
          ",edx,art-and-design
/course/edx-soundcool-modulos-de-video-y-propuestas-creativas-13448,Soundcool: Módulos de vídeo y propuestas creativas,/university/upv,Five out of five stars,2 reviews,"
            4-5 hours a week, 5 weeks long
          ",edx,art-and-design
/course/edx-first-nights-berlioz-s-symphonie-fantastique-and-program-music-in-the-19th-century-6612,First Nights - Berlioz’s Symphonie Fantastique and Program Music in the 19th Century,/university/harvard,Five out of five stars,2 reviews,"
            3-5 hours a week, 3 weeks long
          ",edx,art-and-design
/course/edx-drawing-nature-science-and-culture-natural-history-illustration-101-7073,"Drawing Nature, Science and Culture: Natural History Illustration 101",/university/newcastle-au,Five out of five stars,2 reviews,"
            3-6 hours a week, 6 weeks long
          ",edx,art-and-design
/course/edx-shakespeare-on-the-page-and-in-performance-939,Shakespeare: On the Page and in Performance,/university/wesleyan,Four and a half out of five stars,3 reviews,"
            4-5 hours a week, 4 weeks long
          ",edx,art-and-design
/course/edx-creating-a-digital-cultural-heritage-community-18108,Creating a Digital Cultural Heritage Community,/university/kuleuven,Four and a half out of five stars,3 reviews,"
            2-5 hours a week, 8 weeks long
          ",edx,art-and-design
/course/edx-vocal-recording-technology-1985,Vocal Recording Technology,/university/berklee,Four and a half out of five stars,3 reviews,"
            5-6 hours a week, 6 weeks long
          ",edx,art-and-design
/course/edx-fundamentals-of-communication-acoustics-9291,Fundamentals of Communication Acoustics,/university/aachen,Four and a half out of five stars,3 reviews,"
            6-8 hours a week, 6 weeks long
          ",edx,art-and-design
/course/edx-history-of-chinese-architecture-part-1-1233,History of Chinese Architecture: Part 1,/university/tsinghua,Five out of five stars,1 review,"
            8 weeks long
          ",edx,art-and-design
/course/edx-history-of-chinese-architecture-part-2-1621,History of Chinese Architecture: Part 2,/university/tsinghua,Five out of five stars,1 review,"
            9 weeks long
          ",edx,art-and-design
