Link,Title,Provider,Rating,Num_Reviewer,Workload,platform,subject
/course/ai-and-big-data-global-health-improvement-17981,AI and Big Data in Global Health Improvement,/university/taipei-medical-university,Five out of five stars,44 reviews,"
            1 hour a week, 4 weeks long
          ",futurelearn,cs
/course/transport-systems-global-issues-and-future-innova-12705,Transport Systems: Global Issues and Future Innovations,/university/leeds,Five out of five stars,74 reviews,"
            4 hours a week, 2 weeks long
          ",futurelearn,cs
/course/introduction-to-cyber-security-2448,Introduction to Cyber Security,/university/tou,Four and a half out of five stars,22 reviews,"
            3 hours a week, 8 weeks long
          ",futurelearn,cs
/course/consciousness-23316,Application of Digital Health Interventions,/university/taipei-medical-university,Four out of five stars,4 ratings at FutureLearn,"
            2 hours a week, 4 weeks long
          ",futurelearn,cs
/course/futurelearn-the-internet-of-things-3820,The Internet of Things,/university/kcl,Four out of five stars,7 reviews,"
            2 hours a week, 4 weeks long
          ",futurelearn,cs
/course/investing-technology-19058,Innovations in Investment Technology: Artificial Intelligence,/university/umich,Four out of five stars,1 review,"
            4 hours a week, 4 weeks long
          ",futurelearn,cs
/course/object-oriented-principles-8884,Object-oriented Programming in Python: Create Your Own Adventure Game,/institution/raspberrypi,Five out of five stars,141 ratings at FutureLearn,"
            2 hours a week, 4 weeks long
          ",futurelearn,cs
/course/futurelearn-cyber-security-safety-at-home-online-in-life-6265,"Cyber Security: Safety at Home, Online, in Life",/university/newcastle,Four out of five stars,2 reviews,"
            3 hours a week, 3 weeks long
          ",futurelearn,cs
/course/how-computers-work-12030,How Computers Work: Demystifying Computation,/institution/raspberrypi,Four and a half out of five stars,86 ratings at FutureLearn,"
            2 hours a week, 4 weeks long
          ",futurelearn,cs
/course/intro-to-quantum-computing-8706,Understanding Quantum Computers,/university/keio,Four and a half out of five stars,58 ratings at FutureLearn,"
            3 hours a week, 3 weeks long
          ",futurelearn,cs
/course/an-introduction-to-physical-computing-19560,Introduction to Physical Computing,/university/lancaster,Five out of five stars,115 ratings at FutureLearn,"
            2 hours a week, 2 weeks long
          ",futurelearn,cs
/course/supercomputing-7660,Supercomputing,/institution/prace,Four and a half out of five stars,23 ratings at FutureLearn,"
            3 hours a week, 5 weeks long
          ",futurelearn,cs
/course/apply-creative-machine-learning-20089,Apply Creative Machine Learning,/institution/institute-coding,Five out of five stars,19 ratings at FutureLearn,"
            2 hours a week, 4 weeks long
          ",futurelearn,cs
/course/designing-a-feminist-chatbot-19294,Design a Feminist Chatbot,/institution/institute-coding,Five out of five stars,44 ratings at FutureLearn,"
            2 hours a week, 4 weeks long
          ",futurelearn,cs
/course/getting-started-with-your-raspberry-pi-19729,Getting Started with Your Raspberry Pi,/institution/raspberrypi,Five out of five stars,125 ratings at FutureLearn,"
            2 hours a week, 3 weeks long
          ",futurelearn,cs
/course/deakin-university-master-it-leadership-20912,Masters Degree in Information Technology Leadership,/university/deakin,Zero out of five stars,31 ratings at FutureLearn,"
            4 hours a week, 4 weeks long
          ",futurelearn,cs
/course/python-in-hpc-13774,Python in High Performance Computing,/institution/prace,Four and a half out of five stars,1 rating at FutureLearn,"
            5 hours a week, 4 weeks long
          ",futurelearn,cs
/course/essential-mathematics-for-mla-ai-25425,Microsoft Future Ready: Essential Mathematics for Machine Learning and AI,/institution/cloudswyft,Zero out of five stars,1 rating at FutureLearn,"
            5 hours a week, 5 weeks long
          ",futurelearn,cs
/course/cloudswyft-msft-principles-of-machine-learning-py-25426,AI and Machine Learning Algorithms Using Python,/institution/cloudswyft,Zero out of five stars,6 ratings at FutureLearn,"
            6 hours a week, 3 weeks long
          ",futurelearn,cs
/course/introduction-to-ai-25429,Introduction to Artificial Intelligence and Machine Learning,/institution/cloudswyft,Zero out of five stars,2 ratings at FutureLearn,"
            5 hours a week, 4 weeks long
          ",futurelearn,cs
/course/deep-learning-explained-25433,Deep Learning on Azure with Python: Introduction to Deep Learning,/institution/cloudswyft,Zero out of five stars,1 rating at FutureLearn,"
            5 hours a week, 4 weeks long
          ",futurelearn,cs
/course/introduction-to-python-deep-learning-25436,AI Programming with Python for Beginners,/institution/cloudswyft,Five out of five stars,151 ratings at FutureLearn,"
            5 hours a week, 2 weeks long
          ",futurelearn,cs
/course/cloudswyft-msft-principles-of-machine-learning-py-32145,Microsoft Future Ready: Principles of Machine Learning with Python Programming,/institution/cloudswyft,Zero out of five stars,53 ratings at FutureLearn,"
            2 hours a week, 2 weeks long
          ",futurelearn,cs
/course/speech-recognition-systems-32146,Applied Artificial Intelligence: Speech Recognition Systems,/institution/cloudswyft,Zero out of five stars,2 ratings at FutureLearn,"
            2 hours a week, 2 weeks long
          ",futurelearn,cs
/course/cloudswyft-msft-principles-of-machine-learning-py-32147,Microsoft Future Ready: Using Python Programming to Explore the Principles of Machine Learning,/institution/cloudswyft,Five out of five stars,56 ratings at FutureLearn,"
            2 hours a week, 2 weeks long
          ",futurelearn,cs
/course/cloudswyft-msft-natural-language-processing-advan-32148,Applied Artificial Intelligence: Natural Language Processing,/institution/cloudswyft,Zero out of five stars,11 ratings at FutureLearn,"
            5 hours a week, 4 weeks long
          ",futurelearn,cs
/course/computervisionandimageanalysis-advancedai-32149,Applied Artificial Intelligence: Computer Vision and Image Analysis,/institution/cloudswyft,Zero out of five stars,27 ratings at FutureLearn,"
            2 hours a week, 2 weeks long
          ",futurelearn,cs
/course/systems-thinking-for-sustainability-analyzing-and-31722,Systems Thinking for Sustainability: Analyzing and Transitioning Complex Systems,/institution/except,Four and a half out of five stars,43 ratings at FutureLearn,"
            3 hours a week, 2 weeks long
          ",futurelearn,cs
/course/systems-thinking-for-sustainability-framework-for-31723,Systems Thinking for Sustainability: Practical Application of the SiD Method,/institution/except,Four out of five stars,45 ratings at FutureLearn,"
            4 hours a week, 3 weeks long
          ",futurelearn,cs
/course/systems-thinking-for-sustainability-drawing-compl-31724,Systems Thinking for Sustainability: Drawing Complexity on a Paper,/institution/except,Zero out of five stars,3 ratings at FutureLearn,"
            2 hours a week, 4 weeks long
          ",futurelearn,cs
