Link,Title,Provider,Rating,Num_Reviewer,Workload,platform,subject
/course/uncommon-sense-teaching-46410,Uncommon Sense Teaching,/institution/oakley,Five out of five stars,380 reviews,"
            16 hours worth of material, 4 weeks long
          ",coursera,education
/course/building-community-habits-of-learning-84704,"Uncommon Sense Teaching: Part 2, Building Community and Habits of Learning",/institution/oakley,Five out of five stars,79 reviews,"
            14 hours worth of material, 4 weeks long
          ",coursera,education
/course/teaching-online-104411,Uncommon Sense Teaching: Teaching Online,/institution/oakley,Five out of five stars,13 reviews,"
            15 hours worth of material, 4 weeks long
          ",coursera,education
/course/disability-inclusion-education-12590,Disability Inclusion in Education: Building Systems of Support ,/university/uct,Five out of five stars,7 reviews,"
            14 hours worth of material, 5 weeks long
          ",coursera,education
/course/teaching-character-866,Teaching Character and Creating Positive Classrooms ,/university/relay,Four and a half out of five stars,22 reviews,"
            10 hours worth of material, 5 weeks long
          ",coursera,education
/course/tesol-speaking-6201,"Teach English Now! Second Language Listening, Speaking, and Pronunciation",/university/asu,Five out of five stars,5 reviews,"
            19 hours worth of material, 6 weeks long
          ",coursera,education
/course/futureeducation-2033,What future for education?,/university/london,Five out of five stars,5 reviews,"
            14 hours worth of material, 6 weeks long
          ",coursera,education
/course/aboriginaled-394,Aboriginal Worldviews and Education,/university/utoronto,Four and a half out of five stars,393 ratings at Coursera,"
            14 hours worth of material, 6 weeks long
          ",coursera,education
/course/edref-2793,"American Education Reform: History, Policy, Practice",/university/penn,Four and a half out of five stars,9 reviews,"
            15 hours worth of material, 8 weeks long
          ",coursera,education
/course/assessmentforlearning-12014,Assessment for Learning,/university/illinois,Four and a half out of five stars,235 ratings at Coursera,"
            14 hours worth of material, 4 weeks long
          ",coursera,education
/course/atc21s-1750,Assessment and Teaching of 21st Century Skills,/university/unimelb,Five out of five stars,4 reviews,"
            4-5 hours a week, 6 weeks long
          ",coursera,education
/course/academicinfoseek-5153,Academic Information Seeking,/university/dtu,Four and a half out of five stars,8 reviews,"
            6-7 hours worth of material, 3 weeks long
          ",coursera,education
/course/ictinprimary-1763,ICT in Primary Education: Transforming children's learning across the curriculum,/university/london,Four and a half out of five stars,5 reviews,"
            20 hours worth of material, 6 weeks long
          ",coursera,education
/course/disabilityaware-3829,Disability Awareness and Support,/university/pitt,Four and a half out of five stars,266 ratings at Coursera,"
            7-8 hours worth of material, 4 weeks long
          ",coursera,education
/course/teach-children-with-visual-impairment-17012,Teaching Children with Visual Impairment: Creating Empowering Classrooms,/university/uct,Five out of five stars,128 ratings at Coursera,"
            14 hours worth of material, 4 weeks long
          ",coursera,education
/course/contenido-matematica-escolar-11756,Contenido de las matemáticas de primaria,/university/uniandes,Five out of five stars,1126 ratings at Coursera,"
            25 hours worth of material, 6 weeks long
          ",coursera,education
/course/tesol-writing-6190,"Teach English Now! Second Language Reading, Writing, and Grammar ",/university/asu,Five out of five stars,2106 ratings at Coursera,"
            22 hours worth of material, 6 weeks long
          ",coursera,education
/course/pla-3538,Practical Learning Analytics,/university/umich,Five out of five stars,2 reviews,"
            2-8 hours a week, 8 weeks long
          ",coursera,education
/course/coachingteachers-873,Coaching Teachers: Promoting Changes that Stick ,/university/mtr,Five out of five stars,2 reviews,"
            5 weeks long
          ",coursera,education
/course/earlychildhood-869,Effective Classroom Interactions: Supporting Young Children’s Development,/university/uva,Four and a half out of five stars,3 reviews,"
            2-3 hours a week
          ",coursera,education
/course/shaping1landscape-1905,"Shaping the Way We Teach English, 1: The Landscape of English Language Teaching",/university/uo,Four and a half out of five stars,3 reviews,"
            4-6 hours a week
          ",coursera,education
/course/teaching-learning-876,Foundations of Teaching for Learning: Learners and Learning,/institution/cet1886,Four and a half out of five stars,5 reviews,"
            12 hours worth of material, 6 weeks long
          ",coursera,education
/course/togetherteacher-2113,Get Organized: How to be a Together Teacher,/university/relay,Four and a half out of five stars,6 reviews,"
            7-8 hours worth of material, 6 weeks long
          ",coursera,education
/course/ltto-1393,Learning to Teach Online,/university/unsw,Four out of five stars,8 reviews,"
            18 hours worth of material, 5 weeks long
          ",coursera,education
/course/e-learning-5921,Mastering Remote Work and Online Study in U.S. in the post-COVID Era,/university/suny,Four out of five stars,16 ratings at Coursera,"
            24 hours worth of material, 5 weeks long
          ",coursera,education
/course/college-life-4910,U101: Understanding College and College Life,/university/uw,Four and a half out of five stars,436 ratings at Coursera,"
            11 hours worth of material, 4 weeks long
          ",coursera,education
/course/k12virtualtrends-870,Emerging Trends & Technologies in the Virtual K-12 Classroom,/university/uci,Four and a half out of five stars,627 ratings at Coursera,"
            7-8 hours worth of material, 4 weeks long
          ",coursera,education
