Link,Title,Provider,Rating,Num_Reviewer,Workload,platform,subject
/course/differential-equations-engineers-13258,Differential Equations for Engineers,/university/hkust,Five out of five stars,277 reviews,"
            27 hours worth of material, 6 weeks long
          ",coursera,maths
/course/matrix-algebra-engineers-11986,Matrix Algebra for Engineers,/university/hkust,Five out of five stars,592 reviews,"
            20 hours worth of material, 4 weeks long
          ",coursera,maths
/course/fibonacci-6684,Fibonacci Numbers and the Golden Ratio,/university/hkust,Five out of five stars,225 reviews,"
            9-10 hours worth of material, 3 weeks long
          ",coursera,maths
/course/numerical-methods-engineers-32822,Numerical Methods for Engineers,/university/hkust,Five out of five stars,33 reviews,"
            42 hours worth of material, 6 weeks long
          ",coursera,maths
/course/vector-calculus-engineers-17387,Vector Calculus for Engineers,/university/hkust,Five out of five stars,227 reviews,"
            29 hours worth of material, 5 weeks long
          ",coursera,maths
/course/calcsing-331,Calculus: Single Variable,/university/penn,Four and a half out of five stars,19 reviews,"
            10-12 hours a week
          ",coursera,maths
/course/introstats-646,Statistics: Making Sense of Data,/university/utoronto,Five out of five stars,8 reviews,"
            6-8 hours a week, 47 weeks long
          ",coursera,maths
/course/calculus1-563,Calculus One,/university/osu,Four and a half out of five stars,47 reviews,"
            6-10 hours a week, 16 weeks long
          ",coursera,maths
/course/differentiation-calculus-5068,Calculus: Single Variable Part 2 - Differentiation,/university/penn,Five out of five stars,5 reviews,"
            10 hours worth of material, 3 weeks long
          ",coursera,maths
/course/introduction-to-calculus-12547,Introduction to Calculus,/university/sydney,Five out of five stars,5 reviews,"
            59 hours worth of material, 5 weeks long
          ",coursera,maths
/course/maththink-370,Introduction to Mathematical Thinking,/university/stanford,Four and a half out of five stars,53 reviews,"
            39 hours worth of material, 9 weeks long
          ",coursera,maths
/course/complexanalysis-978,Analysis of a Complex Kind,/university/wesleyan,Four and a half out of five stars,7 reviews,"
            6-8 hours a week
          ",coursera,maths
/course/single-variable-calculus-5066,Calculus: Single Variable Part 1 - Functions,/university/penn,Four and a half out of five stars,8 reviews,"
            14 hours worth of material, 4 weeks long
          ",coursera,maths
/course/complex-analysis-6418,Introduction to Complex Analysis,/university/wesleyan,Five out of five stars,990 ratings at Coursera,"
            27 hours worth of material, 8 weeks long
          ",coursera,maths
/course/mathematicalmethods-1013,Mathematical Methods for Quantitative Finance,/university/uw,Four and a half out of five stars,7 reviews,"
            8-10 hours a week, 8 weeks long
          ",coursera,maths
/course/ordinary-differential-equations-9736,Differential Equations Part I Basic Theory,/university/kaist,Four and a half out of five stars,1280 ratings at Coursera,"
            15 hours worth of material, 9 weeks long
          ",coursera,maths
/course/mathematics-engineers-capstone-66368,Mathematics for Engineers: The Capstone Course,/university/hkust,Five out of five stars,2 reviews,"
            9-10 hours worth of material, 3 weeks long
          ",coursera,maths
/course/enumerative-combinatorics-7774,Introduction to Enumerative Combinatorics,/university/hse,Five out of five stars,2 reviews,"
            111 hours worth of material, 8 weeks long
          ",coursera,maths
/course/applications-calculus-5070,Calculus: Single Variable Part 4 - Applications,/university/penn,Five out of five stars,242 ratings at Coursera,"
            21 hours worth of material, 5 weeks long
          ",coursera,maths
/course/probability-statistics-11755,Probability and Statistics: To p or not to p?,/university/london,Four and a half out of five stars,1375 ratings at Coursera,"
            16 hours worth of material, 6 weeks long
          ",coursera,maths
/course/logic1-1454,Logic: Language and Information 1,/university/unimelb,Four and a half out of five stars,8 reviews,"
            6-8 hours a week
          ",coursera,maths
/course/statreasoning2-2899,Statistical Reasoning for Public Health 2: Regression Methods,/university/jhu,Four and a half out of five stars,3 reviews,"
            3-5 hours a week, 7 weeks long
          ",coursera,maths
/course/trigonometry-843,Pre-Calculus: Trigonometry,/university/uci,Four and a half out of five stars,4 reviews,"
            10-12 hours a week, 9 weeks long
          ",coursera,maths
/course/linear-algebra-python-intro-97488,Introduction to Linear Algebra and Python,/university/howard,Five out of five stars,1 review,"
            12 hours worth of material, 4 weeks long
          ",coursera,maths
/course/mcmc-bayesian-statistics-8424,Bayesian Statistics: Techniques and Models,/university/ucsc,Five out of five stars,449 ratings at Coursera,"
            30 hours worth of material, 5 weeks long
          ",coursera,maths
/course/statistical-inferences-7353,Improving your statistical inferences,/university/tue,Five out of five stars,745 ratings at Coursera,"
            28 hours worth of material, 8 weeks long
          ",coursera,maths
/course/mathematics-for-computer-science-12817,Mathematics for Computer Science,/university/london,Four out of five stars,190 ratings at Coursera,"
            38 hours worth of material, 6 weeks long
          ",coursera,maths
/course/algebra-elementary-to-advanced-45201,Algebra: Elementary to Advanced,/university/jhu,Five out of five stars,1 review,"
            2 hours a week, 17 weeks long
          ",coursera,maths
/course/linear-regression-r-public-health-13077,Linear Regression in R for Public Health ,/university/imperial,Five out of five stars,440 ratings at Coursera,"
            15 hours worth of material, 4 weeks long
          ",coursera,maths
/course/introduction-statistics-data-analysis-pu-13079,Introduction to Statistics & Data Analysis in Public Health,/university/imperial,Four and a half out of five stars,1278 ratings at Coursera,"
            16 hours worth of material, 4 weeks long
          ",coursera,maths
/course/hypothesis-testing-public-health-12760,Hypothesis Testing in Public Health ,/university/jhu,Five out of five stars,556 ratings at Coursera,"
            19 hours worth of material, 4 weeks long
          ",coursera,maths
/course/summary-statistics-12762,Summary Statistics in Public Health ,/university/jhu,Five out of five stars,1670 ratings at Coursera,"
            15 hours worth of material, 4 weeks long
          ",coursera,maths
/course/multiple-regression-analysis-public-heal-12765,Multiple Regression Analysis in Public Health ,/university/jhu,Four and a half out of five stars,263 ratings at Coursera,"
            14 hours worth of material, 4 weeks long
          ",coursera,maths
/course/precalculo-737,Matemáticas y Movimiento,/university/tecdemonterrey,Five out of five stars,1 review,"
            5-6 hours a week
          ",coursera,maths
/course/logic2-1455,Logic: Language and Information 2,/university/unimelb,Five out of five stars,1 review,"
            6-8 hours a week
          ",coursera,maths
/course/descriptivestats-2756,Descriptive Statistics,/university/amsterdam,Five out of five stars,1 review,"
            4-8 hours a week, 6 weeks long
          ",coursera,maths
/course/precalculo-alpha-5795,Precálculo Alpha: Primer paso a las Matemáticas Universitarias,/university/uniandes,Five out of five stars,1 review,"
            17 hours worth of material, 7 weeks long
          ",coursera,maths
/course/combinatorics-basics-4477,Комбинаторика для начинающих,/university/mipt,Five out of five stars,1 review,"
            26 hours worth of material, 8 weeks long
          ",coursera,maths
/course/mathematics-for-economists-11598,Mathematics for economists,/university/hse,Five out of five stars,1 review,"
            23 hours worth of material, 5 weeks long
          ",coursera,maths
/course/probability-theory-basics-4466,Теория вероятностей для начинающих,/university/mipt,Five out of five stars,1 review,"
            28 hours worth of material, 8 weeks long
          ",coursera,maths
/course/probas1-852,Aléatoire : une introduction aux probabilités - Partie 1,/university/ep,Four and a half out of five stars,95 ratings at Coursera,"
            42 hours worth of material, 6 weeks long
          ",coursera,maths
/course/what-is-a-proof-9212,Mathematical Thinking in Computer Science,/university/ucsd,Four and a half out of five stars,2100 ratings at Coursera,"
            8 weeks long
          ",coursera,maths
/course/precalc-515,Pre-Calculus,/university/uci,Four and a half out of five stars,2 reviews,"
            6-8 hours a week, 7 weeks long
          ",coursera,maths
/course/sequence-1076,Calculus Two: Sequences and Series,/university/osu,Four out of five stars,11 reviews,"
            17 hours worth of material, 4 weeks long
          ",coursera,maths
/course/integration-calculus-5069,Calculus: Single Variable Part 3 - Integration,/university/penn,Five out of five stars,452 ratings at Coursera,"
            6-8 hours a week, 8 weeks long
          ",coursera,maths
/course/functionalanalysis-1313,An Introduction to Functional Analysis,/university/ecp,Four out of five stars,4 reviews,"
            4-5 hours a week
          ",coursera,maths
/course/probability-2583,Probability,/university/penn,Four out of five stars,4 reviews,"
            2-6 hours a week
          ",coursera,maths
/course/logisticregression-3441,Applied Logistic Regression,/university/osu,Four out of five stars,5 reviews,"
            47 hours worth of material, 9 weeks long
          ",coursera,maths
/course/introduccion-al-calculo-4225,Pre-Calculus,/university/uab,Four and a half out of five stars,537 ratings at Coursera,"
            5-6 hours worth of material, 3 weeks long
          ",coursera,maths
/course/algebra-ii-44579,Algebra: Elementary to Advanced - Functions & Applications,/university/jhu,Five out of five stars,81 ratings at Coursera,"
            17 hours worth of material, 8 weeks long
          ",coursera,maths
/course/ac-922,Analytic Combinatorics,/university/princeton,Four and a half out of five stars,55 ratings at Coursera,"
            18 hours worth of material, 5 weeks long
          ",coursera,maths
/course/crash-course-in-causality-8425,A Crash Course in Causality:  Inferring Causal Effects from Observational Data,/university/penn,Four and a half out of five stars,477 ratings at Coursera,"
            30 hours worth of material, 5 weeks long
          ",coursera,maths
/course/introductiontoprobability-7792,An Intuitive Introduction to Probability,/university/zurich,Five out of five stars,1453 ratings at Coursera,"
            21 hours worth of material, 5 weeks long
          ",coursera,maths
/course/graphs-9213,Introduction to Graph Theory,/university/ucsd,Four and a half out of five stars,901 ratings at Coursera,"
            7-8 hours worth of material, 7 weeks long
          ",coursera,maths
/course/calculus-through-data-and-modelling-differentiati-27984,Calculus through Data & Modeling: Differentiation Rules,/university/jhu,Five out of five stars,27 ratings at Coursera,"
            2-3 hours a week
          ",coursera,maths
/course/randomness-736,"Unpredictable? Randomness, Chance and Free Will",/university/nus,Four out of five stars,4 reviews,"
            5-7 hours a week
          ",coursera,maths
/course/m2o2c2-1812,Massively Multivariable Open Online Calculus Course,/university/osu,Four out of five stars,5 reviews,"
            24 hours worth of material, 6 weeks long
          ",coursera,maths
/course/combinatorics-2464,Combinatorics and Probability,/university/mipt,Four and a half out of five stars,804 ratings at Coursera,"
            19 hours worth of material, 4 weeks long
          ",coursera,maths
/course/estadistica-aplicada-negocios-7079,Estadística aplicada a los negocios,/university/austral,Four and a half out of five stars,687 ratings at Coursera,"
            21 hours worth of material, 8 weeks long
          ",coursera,maths
/course/hesap-calculus-dersi-1412,Çok değişkenli Fonksiyon I: Kavramlar / Multivariable Calculus I:  Concepts,/university/koc,Four and a half out of five stars,26 ratings at Coursera,"
            6-7 hours worth of material, 5 weeks long
          ",coursera,maths
/course/matrix-methods-13644,Matrix Methods,/university/minnesota,Four out of five stars,218 ratings at Coursera,"
            19 hours worth of material, 5 weeks long
          ",coursera,maths
/course/power-sample-size-14413,Power and Sample Size for Multilevel and Longitudinal Study Designs,/university/ufl,Four and a half out of five stars,34 ratings at Coursera,"
            4 hours a week, 17 weeks long
          ",coursera,maths
/course/mathematics-machine-learning-18798,Mathematics for Machine Learning,/university/imperial,Three out of five stars,1 review,"
            21 hours worth of material, 5 weeks long
          ",coursera,maths
/course/linear-algebra-matrices-45982,Линейная алгебра: матрицы и отображения,/university/nsu,Three out of five stars,1 review,"
            2-4 hours a week
          ",coursera,maths
