Link,Title,Provider,Rating,Num_Reviewer,Workload,platform,subject
/course/dutch-3014,Introduction to Dutch,/university/rug,Five out of five stars,285 reviews,"
            3 hours a week, 3 weeks long
          ",futurelearn,humanities
/course/english-in-early-childhood-6910,English in Early Childhood: Language Learning and Development,/institution/british-council,Five out of five stars,1414 reviews,"
            2 hours a week, 6 weeks long
          ",futurelearn,humanities
/course/rome-7801,Rome: A Virtual Tour of the Ancient City,/university/reading,Five out of five stars,37 reviews,"
            3 hours a week, 5 weeks long
          ",futurelearn,humanities
/course/exploring-english-food-and-culture-46007,Exploring English: Food and Culture,/institution/british-council,Five out of five stars,68 reviews,"
            3 hours a week, 4 weeks long
          ",futurelearn,humanities
/course/explore-english-shakespeare-4847,Exploring English: Shakespeare,/institution/british-council,Five out of five stars,497 reviews,"
            2 hours a week, 6 weeks long
          ",futurelearn,humanities
/course/teaching-english-great-lesson-13115,Teaching English: How to Plan a Great Lesson,/institution/british-council,Five out of five stars,373 reviews,"
            2 hours a week, 4 weeks long
          ",futurelearn,humanities
/course/working-with-translation-6981,Working with Translation: Theory and Practice,/university/cardiff,Five out of five stars,131 reviews,"
            4 hours a week, 4 weeks long
          ",futurelearn,humanities
/course/country-house-literature-2028,Literature of the English Country House,/university/shef,Five out of five stars,208 reviews,"
            8 weeks long
          ",futurelearn,humanities
/course/workplace-english-6911,English for the Workplace,/institution/british-council,Five out of five stars,1503 reviews,"
            2 hours a week, 4 weeks long
          ",futurelearn,humanities
/course/writing-applications-2248,How to Succeed at: Writing Applications,/university/shef,Four and a half out of five stars,425 reviews,"
            3 hours a week, 3 weeks long
          ",futurelearn,humanities
/course/research-ethics-an-introduction-12091,Introduction to Research Ethics: Working with People,/university/leeds,Five out of five stars,41 reviews,"
            4 hours a week, 2 weeks long
          ",futurelearn,humanities
/course/explore-english-language-culture-2135,Exploring English: Language and Culture,/institution/british-council,Four and a half out of five stars,838 reviews,"
            2 hours a week, 6 weeks long
          ",futurelearn,humanities
/course/multilingual-practices-8096,Multilingual Practices: Tackling Challenges and Creating Opportunities,/university/rug,Five out of five stars,23 reviews,"
            3 hours a week, 4 weeks long
          ",futurelearn,humanities
/course/food-as-medicine-5742,Food as Medicine,/university/monash,Four and a half out of five stars,119 reviews,"
            4 hours a week, 3 weeks long
          ",futurelearn,humanities
/course/shakespeare-and-his-world-1570,Shakespeare and his World,/university/warwick,Five out of five stars,14 reviews,"
            5 hours a week, 10 weeks long
          ",futurelearn,humanities
/course/food-for-thought-12033,"Food for Thought: The Relationship Between Food, Gut and Brain",/institution/eit-food,Five out of five stars,9 reviews,"
            2 hours a week, 5 weeks long
          ",futurelearn,humanities
/course/frisian-6637,Introduction to Frisian,/university/rug,Four and a half out of five stars,29 reviews,"
            3 hours a week, 3 weeks long
          ",futurelearn,humanities
/course/food-science-and-nutrition-18182,Food Science and Nutrition: From the Farm to You,/university/leeds,Four and a half out of five stars,29 reviews,"
            2 hours a week, 2 weeks long
          ",futurelearn,humanities
/course/religion-and-conflict-3294,Religion and Conflict,/university/rug,Four and a half out of five stars,23 reviews,"
            4 hours a week, 6 weeks long
          ",futurelearn,humanities
/course/ww1-heroism-art-film-5014,WW1 Heroism: Through Art and Film,/university/leeds,Four and a half out of five stars,55 reviews,"
            2 hours a week, 2 weeks long
          ",futurelearn,humanities
/course/basic-english-pre-intermediate-11196,Basic English 2: Pre-Intermediate,/university/kcl,Five out of five stars,7 reviews,"
            4 hours a week, 4 weeks long
          ",futurelearn,humanities
/course/superfoods-myths-and-truths-12274,Superfoods: Myths and Truths,/institution/eit-food,Five out of five stars,6 reviews,"
            3 hours a week, 4 weeks long
          ",futurelearn,humanities
/course/william-wordsworth-3650,"William Wordsworth: Poetry, People and Place",/university/lancaster,Five out of five stars,6 reviews,"
            3 hours a week, 4 weeks long
          ",futurelearn,humanities
/course/ww1-trauma-2325,"World War 1: Trauma, Memory, Controversy",/university/tou,Four and a half out of five stars,9 reviews,"
            2 hours a week, 3 weeks long
          ",futurelearn,humanities
/course/discovering-science-science-writing-7743,Discovering Science: Science Writing,/university/leeds,Four and a half out of five stars,28 reviews,"
            5 hours a week, 2 weeks long
          ",futurelearn,humanities
/course/european-discovery-china-3819,The European Discovery of China,/university/pompeu-fabra,Five out of five stars,4 reviews,"
            6 hours a week, 8 weeks long
          ",futurelearn,humanities
/course/superpowers-near-east-3818,Superpowers of the Ancient World: the Near East,/university/liv,Five out of five stars,5 reviews,"
            3 hours a week, 4 weeks long
          ",futurelearn,humanities
