Link,Title,Provider,Rating,Num_Reviewer,Workload,platform,subject
/course/edx-marketing-innovative-products-and-services-19176,Marketing Innovative Products and Services,/university/usmd,Five out of five stars,59 reviews,"
            2-3 hours a week, 4 weeks long
          ",edx,business
/course/edx-six-sigma-define-and-measure-8450,Six Sigma: Define and Measure,/university/tum,Five out of five stars,1359 reviews,"
            3-4 hours a week, 8 weeks long
          ",edx,business
/course/edx-lean-production-8447,Lean Production,/university/tum,Five out of five stars,813 reviews,"
            3-4 hours a week, 6 weeks long
          ",edx,business
/course/edx-financing-innovative-ventures-19115,Financing Innovative Ventures,/university/usmd,Five out of five stars,40 reviews,"
            2-3 hours a week, 4 weeks long
          ",edx,business
/course/edx-product-management-fundamentals-19098,Product Management Fundamentals,/university/usmd,Five out of five stars,198 reviews,"
            2-3 hours a week, 4 weeks long
          ",edx,business
/course/edx-six-sigma-analyze-improve-control-8452,"Six Sigma: Analyze, Improve, Control",/university/tum,Five out of five stars,798 reviews,"
            3-4 hours a week, 8 weeks long
          ",edx,business
/course/edx-fintech-ethics-and-risks-11392,FinTech Ethics and Risks,/university/hku,Five out of five stars,26 reviews,"
            1-5 hours a week, 6 weeks long
          ",edx,business
/course/edx-achieving-product-market-fit-19099,Achieving Product-Market Fit,/university/usmd,Five out of five stars,38 reviews,"
            2-3 hours a week, 4 weeks long
          ",edx,business
/course/edx-excel-fundamentos-y-herramientas-2962,Excel: Fundamentos y herramientas,/university/upv,Four and a half out of five stars,555 reviews,"
            3-4 hours a week, 8 weeks long
          ",edx,business
/course/edx-creating-innovative-business-models-19175,Creating Innovative Business Models,/university/usmd,Five out of five stars,25 reviews,"
            2-3 hours a week, 4 weeks long
          ",edx,business
/course/edx-persuasion-and-presence-for-program-and-project-managers-19744,Persuasion and Presence for Program and Project Managers,/university/usmd,Five out of five stars,53 reviews,"
            3-5 hours a week, 5 weeks long
          ",edx,business
/course/introduccion-a-power-bi-para-los-negocios-45216,Introducción a Power BI para los negocios,/university/upv,Five out of five stars,45 reviews,"
            4-5 hours a week, 4 weeks long
          ",edx,business
